Date,Time,Inlet Pressure,Outlet Pressure,Differential Pressure,Valve Angle,Oxygen Conc,Biogas Temp
2020/4/14,00:03:38,1,0,1,0,0,27
2020/4/14,00:13:38,1,0,1,0,0,27
2020/4/14,00:23:38,1,0,1,0,0,27
2020/4/14,00:33:38,1,0,1,0,0,27
2020/4/14,00:43:38,1,0,1,0,0,27
2020/4/14,00:53:38,1,0,1,0,0,27
2020/4/14,01:03:38,1,0,1,0,0,27
2020/4/14,01:13:38,1,0,1,0,0,27
2020/4/14,01:23:38,1,0,1,0,0,27
2020/4/14,01:33:38,1,0,1,0,0,27
2020/4/14,01:43:38,1,0,1,0,1,27
2020/4/14,01:53:38,1,0,1,0,0,27
2020/4/14,02:03:38,1,0,1,0,0,27
2020/4/14,02:13:38,1,0,1,0,0,27
2020/4/14,02:23:38,1,0,1,0,0,27
2020/4/14,02:33:38,1,0,1,0,0,27
2020/4/14,02:43:38,1,0,1,0,0,27
2020/4/14,02:53:38,1,0,1,0,0,27
2020/4/14,03:03:38,1,0,1,0,0,27
2020/4/14,03:13:38,1,0,1,0,0,26
2020/4/14,03:23:38,1,0,1,0,0,26
2020/4/14,03:33:38,1,0,1,0,0,26
2020/4/14,03:43:38,1,0,1,0,0,26
2020/4/14,03:53:38,1,0,1,0,0,26
2020/4/14,04:03:38,1,0,1,0,1,26
2020/4/14,04:13:38,1,0,1,0,0,26
2020/4/14,04:23:38,1,0,1,0,0,26
2020/4/14,04:33:38,1,0,1,0,0,26
2020/4/14,04:43:38,1,0,1,0,0,26
2020/4/14,04:53:38,1,0,1,0,0,26
2020/4/14,05:03:38,1,0,1,0,0,26
2020/4/14,05:13:38,0,0,0,0,0,26
2020/4/14,05:23:38,1,0,1,0,0,26
2020/4/14,05:33:38,0,0,0,0,0,26
2020/4/14,05:43:38,1,0,1,0,0,26
2020/4/14,05:53:38,1,0,1,0,0,26
2020/4/14,06:03:38,1,0,1,0,0,25
2020/4/14,06:13:38,1,0,1,0,0,26
2020/4/14,06:23:38,1,0,1,0,0,26
