"Date","Time","Inlet Pressure","Outlet Pressure","Differential Pressure","Valve Angle","Oxygen Conc.","Biogas Temp."
"2020/05/15","00:03:39","1","0","1","0","0","41"
"2020/05/15","00:13:39","1","0","1","0","0","41"
"2020/05/15","00:23:39","1","0","1","0","0","41"
"2020/05/15","00:33:39","1","0","1","0","0","40"
"2020/05/15","00:43:39","1","0","1","0","0","40"
"2020/05/15","00:53:39","1","0","1","0","0","40"
"2020/05/15","01:03:39","1","0","1","0","0","40"
"2020/05/15","01:13:39","1","0","1","0","0","40"
"2020/05/15","01:23:39","1","0","1","0","0","40"
"2020/05/15","01:33:39","1","0","1","0","0","40"
"2020/05/15","01:43:39","1","0","1","0","0","40"
"2020/05/15","01:53:39","1","0","1","0","0","40"
"2020/05/15","02:03:39","1","0","1","0","0","40"
"2020/05/15","02:13:39","1","0","1","0","0","40"
"2020/05/15","02:23:39","1","0","1","0","0","40"
"2020/05/15","02:33:39","1","0","1","0","0","39"
"2020/05/15","02:43:39","1","0","1","0","0","40"
"2020/05/15","02:53:39","1","0","1","0","0","40"
"2020/05/15","03:03:39","1","0","1","0","0","39"
"2020/05/15","03:13:39","1","0","1","0","0","40"
"2020/05/15","03:23:39","1","0","1","0","0","39"
"2020/05/15","03:33:39","1","0","1","0","0","39"
"2020/05/15","03:43:39","1","0","1","0","0","39"
"2020/05/15","03:53:39","1","0","1","0","0","39"
"2020/05/15","04:03:39","1","0","1","0","0","39"
"2020/05/15","04:13:39","1","0","1","0","0","39"
"2020/05/15","04:23:39","1","0","1","0","0","39"
"2020/05/15","04:33:39","1","0","1","0","0","39"
"2020/05/15","04:43:39","1","0","1","0","0","39"
"2020/05/15","04:53:39","1","0","1","0","0","39"
"2020/05/15","05:03:39","1","0","1","0","0","39"
"2020/05/15","05:13:39","1","0","1","0","0","39"
"2020/05/15","05:23:39","1","0","1","0","0","39"
"2020/05/15","05:33:39","1","0","1","0","0","39"
"2020/05/15","05:43:39","1","0","1","0","0","39"
"2020/05/15","05:53:39","1","0","1","0","0","39"
"2020/05/15","06:03:39","1","0","1","0","0","39"
"2020/05/15","06:13:39","1","0","1","0","0","40"
"2020/05/15","06:23:39","1","0","1","0","0","40"
"2020/05/15","06:33:39","1","0","1","0","0","40"
"2020/05/15","06:43:39","1","0","1","0","0","40"
"2020/05/15","06:53:39","1","0","1","0","0","41"
"2020/05/15","07:03:39","1","0","1","0","0","41"
"2020/05/15","07:13:39","1","0","1","0","0","41"
"2020/05/15","07:23:39","1","0","1","0","0","42"
"2020/05/15","07:33:39","1","0","1","0","0","42"
"2020/05/15","07:43:39","1","0","1","0","0","42"
"2020/05/15","07:53:39","1","0","1","0","0","42"
"2020/05/15","08:03:39","1","0","1","0","0","43"
"2020/05/15","08:13:39","1","0","1","0","0","43"
"2020/05/15","08:23:39","1","0","1","0","0","43"
"2020/05/15","08:33:39","1","0","1","0","0","43"
"2020/05/15","08:43:39","1","0","1","0","0","44"
"2020/05/15","08:53:39","1","0","1","0","0","44"
"2020/05/15","09:03:39","1","1","0","0","0","44"
"2020/05/15","09:13:39","1","0","1","0","0","44"
"2020/05/15","09:23:39","1","1","0","0","0","44"
"2020/05/15","09:33:39","1","1","0","0","0","44"
"2020/05/15","09:43:39","2","0","2","0","0","44"
"2020/05/15","09:53:39","2","0","2","0","0","44"
"2020/05/15","10:03:39","2","0","2","0","0","45"
"2020/05/15","10:13:39","2","0","2","0","0","45"
"2020/05/15","10:23:39","2","0","2","0","0","45"
"2020/05/15","10:33:39","2","0","2","0","0","45"
"2020/05/15","10:43:39","2","0","2","0","0","45"
"2020/05/15","10:53:39","1","0","1","0","0","45"
"2020/05/15","11:03:39","2","0","2","0","0","45"
"2020/05/15","11:13:39","1","0","1","0","0","45"
"2020/05/15","11:23:39","1","0","1","0","0","45"
"2020/05/15","11:33:39","1","0","1","0","0","45"
"2020/05/15","11:43:39","1","0","1","0","0","45"
"2020/05/15","11:53:39","1","0","1","0","0","45"
"2020/05/15","12:03:39","1","0","1","0","0","45"
"2020/05/15","12:13:39","1","0","1","0","0","46"
"2020/05/15","12:23:39","1","1","0","0","0","46"
"2020/05/15","12:33:39","1","1","0","0","0","46"
"2020/05/15","12:43:39","1","0","1","0","0","46"
"2020/05/15","12:53:39","1","0","1","0","0","46"
"2020/05/15","13:03:39","1","0","1","0","0","46"
"2020/05/15","13:13:39","1","0","1","0","0","47"
"2020/05/15","13:23:39","1","0","1","0","0","47"
"2020/05/15","13:33:39","1","0","1","0","0","47"
"2020/05/15","13:43:39","1","0","1","0","0","47"
"2020/05/15","13:53:39","1","1","0","0","0","47"
"2020/05/15","14:03:39","1","0","1","0","0","47"
"2020/05/15","14:13:39","1","1","0","0","0","47"
"2020/05/15","14:23:39","1","0","1","0","0","47"
"2020/05/15","14:33:39","1","0","1","0","0","48"
"2020/05/15","14:43:39","1","0","1","0","0","48"
"2020/05/15","14:53:39","1","0","1","0","0","48"
"2020/05/15","15:03:39","1","0","1","0","0","48"
"2020/05/15","15:13:39","1","0","1","0","0","47"
"2020/05/15","15:23:39","1","0","1","0","0","47"
"2020/05/15","15:33:39","1","0","1","0","0","47"
"2020/05/15","15:43:39","1","0","1","0","0","46"
"2020/05/15","15:53:39","1","0","1","0","0","46"
"2020/05/15","16:03:39","1","0","1","0","0","45"
"2020/05/15","16:13:39","1","0","1","0","0","45"
"2020/05/15","16:23:39","1","0","1","0","0","45"
"2020/05/15","16:33:39","1","0","1","0","0","45"
"2020/05/15","16:43:39","1","0","1","0","0","45"
"2020/05/15","16:53:39","1","0","1","0","0","45"
"2020/05/15","17:03:39","1","0","1","0","0","45"
"2020/05/15","17:13:39","1","0","1","0","0","45"
"2020/05/15","17:23:39","1","0","1","0","0","46"
"2020/05/15","17:33:39","1","0","1","0","0","46"
"2020/05/15","17:43:39","1","0","1","0","0","46"
"2020/05/15","17:53:39","1","0","1","0","0","46"
"2020/05/15","18:03:39","1","0","1","0","0","45"
"2020/05/15","18:13:39","1","0","1","0","0","45"
"2020/05/15","18:23:39","1","0","1","0","0","45"
"2020/05/15","18:33:39","1","0","1","0","0","44"
"2020/05/15","18:43:39","1","0","1","0","0","44"
"2020/05/15","18:53:39","1","0","1","0","0","44"
"2020/05/15","19:03:39","1","0","1","0","0","43"
"2020/05/15","19:13:39","1","0","1","0","0","43"
"2020/05/15","19:23:39","1","0","1","0","0","43"
"2020/05/15","19:33:39","1","0","1","0","0","43"
"2020/05/15","19:43:39","1","0","1","0","0","43"
"2020/05/15","19:53:39","1","0","1","0","0","43"
"2020/05/15","20:03:39","1","0","1","0","0","43"
"2020/05/15","20:13:39","1","0","1","0","0","42"
"2020/05/15","20:23:39","1","0","1","0","0","43"
"2020/05/15","20:33:39","1","0","1","0","0","42"
"2020/05/15","20:43:39","1","0","1","0","0","42"
"2020/05/15","20:53:39","1","0","1","0","0","42"
"2020/05/15","21:03:39","1","0","1","0","0","42"
"2020/05/15","21:13:39","1","0","1","0","0","42"
"2020/05/15","21:23:39","1","0","1","0","0","42"
"2020/05/15","21:33:39","1","0","1","0","0","42"
"2020/05/15","21:43:39","1","0","1","0","0","42"
"2020/05/15","21:53:39","1","0","1","0","0","42"
"2020/05/15","22:03:39","1","0","1","0","0","42"
"2020/05/15","22:13:39","1","0","1","0","0","42"
"2020/05/15","22:23:39","1","0","1","0","0","42"
"2020/05/15","22:33:39","1","0","1","0","0","42"
"2020/05/15","22:43:39","1","0","1","0","0","42"
"2020/05/15","22:53:39","1","0","1","0","0","42"
"2020/05/15","23:03:39","1","0","1","0","0","42"
"2020/05/15","23:13:39","1","0","1","0","0","42"
"2020/05/15","23:23:39","1","0","1","0","0","42"
"2020/05/15","23:33:39","1","0","1","0","0","42"
"2020/05/15","23:43:39","1","0","1","0","0","42"
"2020/05/15","23:53:39","1","0","1","0","0","41"
